event,id,nanoseconds
read,6,24200
read,7,24655
read,4,25039
read,5,25303
read,3,25307
read,1,25758
read,2,25854
read,8,26015
write,7,43663
write,8,45096
write,6,46499
write,4,47039
write,3,47155
write,9,48102
write,2,49845
write,5,50127
write,1,105755
open,7,53044
open,3,53249
open,5,53694
open,6,54025
open,4,54874
open,2,55026
open,8,55350
open,1,68674
close,3,55626
close,6,56400
close,4,57361
close,7,58033
close,5,58909
close,2,59985
close,1,63548
read,12,23065
read,13,23327
read,16,23382
read,14,24094
read,9,24111
read,10,24239
read,17,24591
read,15,24665
read,11,24971
write,11,44523
write,12,44553
write,10,44767
write,15,44808
write,13,45946
write,14,46019
write,16,46281
write,17,46359
write,18,46965
write,19,47532
open,10,52320
open,14,53207
open,12,53627
open,15,54169
open,16,54728
open,18,55403
open,11,55766
open,13,55864
open,17,56169
open,9,58403
close,10,54424
close,11,55889
close,9,56658
close,14,57309
close,15,57674
close,12,58229
close,16,59432
close,17,60709
close,8,62426
close,13,67922
read,19,21735
read,23,22442
read,20,22453
read,25,22786
read,21,22944
read,24,23171
read,26,23337
read,18,23891
read,22,24251
read,27,31371
write,22,43185
write,23,43687
write,21,43776
write,27,44085
write,20,44665
write,25,45010
write,26,45417
write,24,55319
write,28,56476
open,20,51454
open,22,52718
open,21,54033
open,26,54471
open,25,54754
open,23,55879
open,19,57619
open,28,57933
open,24,60213
open,27,64318
close,23,54818
close,21,56329
close,26,57166
close,20,57208
close,19,57402
close,24,57499
close,25,58027
close,22,58278
close,18,63725
close,27,68317
read,32,22426
read,36,23855
read,31,23912
read,30,24122
read,28,24558
read,33,24927
read,35,24938
read,37,26798
read,34,31893
read,29,35979
write,29,41090
write,33,43345
write,35,43955
write,36,44280
write,37,44375
write,34,44437
write,38,44937
write,32,46351
write,31,46822
write,30,76467
open,33,50914
open,36,51171
open,35,51998
open,34,52200
open,32,52761
open,31,53482
open,37,53728
open,30,59727
open,29,87841
close,31,55726
close,33,56313
close,32,56319
close,35,56889
close,36,57531
close,30,58085
close,29,70789
close,34,71210
close,28,73157
read,43,23589
read,42,24333
read,39,24449
read,41,24458
read,38,24660
read,45,24849
read,46,25145
read,44,25178
read,40,41328
write,43,44134
write,42,44509
write,39,44619
write,47,44651
write,40,45453
write,45,45790
write,41,46300
write,46,47038
write,48,48674
write,44,61233
open,45,52092
open,42,52826
open,39,53224
open,38,53393
open,43,53977
open,44,54061
open,46,54122
open,40,54170
open,41,56880
open,47,58207
close,37,54981
close,41,55132
close,44,55729
close,43,56812
close,42,57022
close,45,57200
close,40,57286
close,39,58813
close,38,59962
close,46,60079
read,56,21935
read,47,22883
read,55,23043
read,52,23379
read,50,23609
read,53,23972
read,51,24376
read,54,24620
read,49,25925
read,48,26950
write,56,43791
write,57,44394
write,54,44595
write,51,44952
write,50,45269
write,55,46215
write,49,46580
write,52,46788
write,53,113786
open,55,51733
open,50,53304
open,51,53756
open,54,53904
open,53,54294
open,49,54335
open,48,54438
open,56,54590
open,57,57206
open,52,223580
close,54,52522
close,55,55364
close,49,56469
close,51,57575
close,47,59120
close,48,60152
close,56,60532
close,50,62459
close,53,67713
close,52,85885
read,58,21984
read,60,22792
read,59,23063
read,63,23244
read,66,23869
read,61,24160
read,65,24172
read,64,24456
read,62,24645
